index,network_names,ROI1,ROI2
1985,Def and DoA,32,64
1986,Def and DoA,33,64
1987,DoA and SoM,34,64
1988,Def and DoA,35,64
1989,Def and DoA,36,64
1990,DoA and Lmb,37,64
1991,DoA and Lmb,38,64
1992,DoA and Vis,39,64
1993,DoA and Vis,40,64
1994,DoA and InO,41,64
1995,DoA and Vis,42,64
1996,DoA and Vis,43,64
1997,DoA and SoM,44,64
1998,DoA and InO,45,64
1999,Aud and DoA,46,64
2000,Aud and DoA,47,64
2001,Def and DoA,48,64
2002,Def and DoA,49,64
2003,DoA and Lmb,50,64
2004,DoA and Lmb,51,64
2005,Def and DoA,52,64
2006,Def and DoA,53,64
2007,DoA and SoM,54,64
2008,DoA and SoM,55,64
2009,DoA and DoA,56,64
2010,DoA and DoA,57,64
2011,DoA and SoM,58,64
2012,DoA and DoA,59,64
2013,DoA and SoM,60,64
2014,DoA and SoM,61,64
2015,DoA and DoA,62,64
2016,DoA and InO,63,64
2017,Def and Vis,1,65
2018,Def and Vis,2,65
2019,Def and InO,3,65
2020,Def and InO,4,65
2021,Aud and Def,5,65
2022,Aud and Def,6,65
2023,Def and Def,7,65
2024,Def and Def,8,65
2025,Def and Lmb,9,65
2026,Def and Lmb,10,65
2027,Def and Def,11,65
2028,Def and Def,12,65
2029,Def and SoM,13,65
2030,Def and SoM,14,65
2031,Def and DoA,15,65
2032,Def and DoA,16,65
2033,Def and SoM,17,65
2034,Def and DoA,18,65
2035,Def and SoM,19,65
2036,Def and SoM,20,65
2037,Def and DoA,21,65
2038,Def and InO,22,65
2039,Def and DoA,23,65
2040,Def and Def,24,65
2041,Def and Def,25,65
2042,Def and Def,26,65
2043,Def and Lmb,27,65
2044,Def and Lmb,28,65
2045,Def and Lmb,29,65
2046,Def and Def,30,65
2047,Def and Def,31,65
2048,Def and Def,32,65
2049,Def and Def,33,65
2050,Def and SoM,34,65
2051,Def and Def,35,65
2052,Def and Def,36,65
2053,Def and Lmb,37,65
2054,Def and Lmb,38,65
2055,Def and Vis,39,65
2056,Def and Vis,40,65
2057,Def and InO,41,65
2058,Def and Vis,42,65
2059,Def and Vis,43,65
2060,Def and SoM,44,65
2061,Def and InO,45,65
2062,Aud and Def,46,65
2063,Aud and Def,47,65
2064,Def and Def,48,65
2065,Def and Def,49,65
2066,Def and Lmb,50,65
2067,Def and Lmb,51,65
2068,Def and Def,52,65
2069,Def and Def,53,65
2070,Def and SoM,54,65
2071,Def and SoM,55,65
2072,Def and DoA,56,65
2073,Def and DoA,57,65
2074,Def and SoM,58,65
2075,Def and DoA,59,65
2076,Def and SoM,60,65
2077,Def and SoM,61,65
2078,Def and DoA,62,65
2079,Def and InO,63,65
2080,Def and DoA,64,65
2081,Def and Vis,1,66
2082,Def and Vis,2,66
2083,Def and InO,3,66
2084,Def and InO,4,66
2085,Aud and Def,5,66
2086,Aud and Def,6,66
2087,Def and Def,7,66
2088,Def and Def,8,66
2089,Def and Lmb,9,66
2090,Def and Lmb,10,66
2091,Def and Def,11,66
2092,Def and Def,12,66
2093,Def and SoM,13,66
2094,Def and SoM,14,66
2095,Def and DoA,15,66
2096,Def and DoA,16,66
2097,Def and SoM,17,66
2098,Def and DoA,18,66
2099,Def and SoM,19,66
2100,Def and SoM,20,66
2101,Def and DoA,21,66
2102,Def and InO,22,66
2103,Def and DoA,23,66
2104,Def and Def,24,66
2105,Def and Def,25,66
2106,Def and Def,26,66
2107,Def and Lmb,27,66
2108,Def and Lmb,28,66
2109,Def and Lmb,29,66
2110,Def and Def,30,66
2111,Def and Def,31,66
2112,Def and Def,32,66
2113,Def and Def,33,66
2114,Def and SoM,34,66
2115,Def and Def,35,66
2116,Def and Def,36,66
2117,Def and Lmb,37,66
2118,Def and Lmb,38,66
2119,Def and Vis,39,66
2120,Def and Vis,40,66
2121,Def and InO,41,66
2122,Def and Vis,42,66
2123,Def and Vis,43,66
2124,Def and SoM,44,66
2125,Def and InO,45,66
2126,Aud and Def,46,66
2127,Aud and Def,47,66
2128,Def and Def,48,66
2129,Def and Def,49,66
2130,Def and Lmb,50,66
2131,Def and Lmb,51,66
2132,Def and Def,52,66
2133,Def and Def,53,66
2134,Def and SoM,54,66
2135,Def and SoM,55,66
2136,Def and DoA,56,66
2137,Def and DoA,57,66
2138,Def and SoM,58,66
2139,Def and DoA,59,66
2140,Def and SoM,60,66
2141,Def and SoM,61,66
2142,Def and DoA,62,66
2143,Def and InO,63,66
2144,Def and DoA,64,66
2145,Def and Def,65,66
2146,Def and Vis,1,67
2147,Def and Vis,2,67
2148,Def and InO,3,67
2149,Def and InO,4,67
2150,Aud and Def,5,67
2151,Aud and Def,6,67
2152,Def and Def,7,67
2153,Def and Def,8,67
2154,Def and Lmb,9,67
2155,Def and Lmb,10,67
2156,Def and Def,11,67
2157,Def and Def,12,67
2158,Def and SoM,13,67
2159,Def and SoM,14,67
2160,Def and DoA,15,67
2161,Def and DoA,16,67
2162,Def and SoM,17,67
2163,Def and DoA,18,67
2164,Def and SoM,19,67
2165,Def and SoM,20,67
2166,Def and DoA,21,67
2167,Def and InO,22,67
2168,Def and DoA,23,67
2169,Def and Def,24,67
2170,Def and Def,25,67
2171,Def and Def,26,67
2172,Def and Lmb,27,67
2173,Def and Lmb,28,67
2174,Def and Lmb,29,67
2175,Def and Def,30,67
2176,Def and Def,31,67
2177,Def and Def,32,67
2178,Def and Def,33,67
2179,Def and SoM,34,67
2180,Def and Def,35,67
2181,Def and Def,36,67
2182,Def and Lmb,37,67
2183,Def and Lmb,38,67
2184,Def and Vis,39,67
2185,Def and Vis,40,67
2186,Def and InO,41,67
2187,Def and Vis,42,67
2188,Def and Vis,43,67
2189,Def and SoM,44,67
2190,Def and InO,45,67
2191,Aud and Def,46,67
2192,Aud and Def,47,67
2193,Def and Def,48,67
2194,Def and Def,49,67
2195,Def and Lmb,50,67
2196,Def and Lmb,51,67
2197,Def and Def,52,67
2198,Def and Def,53,67
2199,Def and SoM,54,67
2200,Def and SoM,55,67
2201,Def and DoA,56,67
2202,Def and DoA,57,67
2203,Def and SoM,58,67
2204,Def and DoA,59,67
2205,Def and SoM,60,67
2206,Def and SoM,61,67
2207,Def and DoA,62,67
2208,Def and InO,63,67
2209,Def and DoA,64,67
2210,Def and Def,65,67
2211,Def and Def,66,67
2212,Lmb and Vis,1,68
2213,Lmb and Vis,2,68
2214,InO and Lmb,3,68
2215,InO and Lmb,4,68
2216,Aud and Lmb,5,68
2217,Aud and Lmb,6,68
2218,Def and Lmb,7,68
2219,Def and Lmb,8,68
2220,Lmb and Lmb,9,68
2221,Lmb and Lmb,10,68
2222,Def and Lmb,11,68
2223,Def and Lmb,12,68
2224,Lmb and SoM,13,68
2225,Lmb and SoM,14,68
2226,DoA and Lmb,15,68
2227,DoA and Lmb,16,68
2228,Lmb and SoM,17,68
2229,DoA and Lmb,18,68
2230,Lmb and SoM,19,68
2231,Lmb and SoM,20,68
2232,DoA and Lmb,21,68
2233,InO and Lmb,22,68
2234,DoA and Lmb,23,68
2235,Def and Lmb,24,68
2236,Def and Lmb,25,68
2237,Def and Lmb,26,68
2238,Lmb and Lmb,27,68
2239,Lmb and Lmb,28,68
2240,Lmb and Lmb,29,68
2241,Def and Lmb,30,68
2242,Def and Lmb,31,68
2243,Def and Lmb,32,68
2244,Def and Lmb,33,68
2245,Lmb and SoM,34,68
2246,Def and Lmb,35,68
2247,Def and Lmb,36,68
2248,Lmb and Lmb,37,68
2249,Lmb and Lmb,38,68
2250,Lmb and Vis,39,68
2251,Lmb and Vis,40,68
2252,InO and Lmb,41,68
2253,Lmb and Vis,42,68
2254,Lmb and Vis,43,68
2255,Lmb and SoM,44,68
2256,InO and Lmb,45,68
2257,Aud and Lmb,46,68
2258,Aud and Lmb,47,68
2259,Def and Lmb,48,68
2260,Def and Lmb,49,68
2261,Lmb and Lmb,50,68
2262,Lmb and Lmb,51,68
2263,Def and Lmb,52,68
2264,Def and Lmb,53,68
2265,Lmb and SoM,54,68
2266,Lmb and SoM,55,68
2267,DoA and Lmb,56,68
2268,DoA and Lmb,57,68
2269,Lmb and SoM,58,68
2270,DoA and Lmb,59,68
2271,Lmb and SoM,60,68
2272,Lmb and SoM,61,68
2273,DoA and Lmb,62,68
2274,InO and Lmb,63,68
2275,DoA and Lmb,64,68
2276,Def and Lmb,65,68
2277,Def and Lmb,66,68
2278,Def and Lmb,67,68
2279,Lmb and Vis,1,69
2280,Lmb and Vis,2,69
2281,InO and Lmb,3,69
2282,InO and Lmb,4,69
2283,Aud and Lmb,5,69
2284,Aud and Lmb,6,69
2285,Def and Lmb,7,69
2286,Def and Lmb,8,69
2287,Lmb and Lmb,9,69
2288,Lmb and Lmb,10,69
2289,Def and Lmb,11,69
2290,Def and Lmb,12,69
2291,Lmb and SoM,13,69
2292,Lmb and SoM,14,69
2293,DoA and Lmb,15,69
2294,DoA and Lmb,16,69
2295,Lmb and SoM,17,69
2296,DoA and Lmb,18,69
2297,Lmb and SoM,19,69
2298,Lmb and SoM,20,69
2299,DoA and Lmb,21,69
2300,InO and Lmb,22,69
2301,DoA and Lmb,23,69
2302,Def and Lmb,24,69
2303,Def and Lmb,25,69
2304,Def and Lmb,26,69
2305,Lmb and Lmb,27,69
2306,Lmb and Lmb,28,69
2307,Lmb and Lmb,29,69
2308,Def and Lmb,30,69
2309,Def and Lmb,31,69
2310,Def and Lmb,32,69
2311,Def and Lmb,33,69
2312,Lmb and SoM,34,69
2313,Def and Lmb,35,69
2314,Def and Lmb,36,69
2315,Lmb and Lmb,37,69
2316,Lmb and Lmb,38,69
2317,Lmb and Vis,39,69
2318,Lmb and Vis,40,69
2319,InO and Lmb,41,69
2320,Lmb and Vis,42,69
2321,Lmb and Vis,43,69
2322,Lmb and SoM,44,69
2323,InO and Lmb,45,69
2324,Aud and Lmb,46,69
2325,Aud and Lmb,47,69
2326,Def and Lmb,48,69
2327,Def and Lmb,49,69
2328,Lmb and Lmb,50,69
2329,Lmb and Lmb,51,69
2330,Def and Lmb,52,69
2331,Def and Lmb,53,69
2332,Lmb and SoM,54,69
2333,Lmb and SoM,55,69
2334,DoA and Lmb,56,69
2335,DoA and Lmb,57,69
2336,Lmb and SoM,58,69
2337,DoA and Lmb,59,69
2338,Lmb and SoM,60,69
2339,Lmb and SoM,61,69
2340,DoA and Lmb,62,69
2341,InO and Lmb,63,69
2342,DoA and Lmb,64,69
2343,Def and Lmb,65,69
2344,Def and Lmb,66,69
2345,Def and Lmb,67,69
2346,Lmb and Lmb,68,69
2347,Lmb and Vis,1,70
2348,Lmb and Vis,2,70
2349,InO and Lmb,3,70
2350,InO and Lmb,4,70
2351,Aud and Lmb,5,70
2352,Aud and Lmb,6,70
2353,Def and Lmb,7,70
2354,Def and Lmb,8,70
2355,Lmb and Lmb,9,70
2356,Lmb and Lmb,10,70
2357,Def and Lmb,11,70
2358,Def and Lmb,12,70
2359,Lmb and SoM,13,70
2360,Lmb and SoM,14,70
2361,DoA and Lmb,15,70
2362,DoA and Lmb,16,70
2363,Lmb and SoM,17,70
2364,DoA and Lmb,18,70
2365,Lmb and SoM,19,70
2366,Lmb and SoM,20,70
2367,DoA and Lmb,21,70
2368,InO and Lmb,22,70
2369,DoA and Lmb,23,70
2370,Def and Lmb,24,70
2371,Def and Lmb,25,70
2372,Def and Lmb,26,70
2373,Lmb and Lmb,27,70
2374,Lmb and Lmb,28,70
2375,Lmb and Lmb,29,70
2376,Def and Lmb,30,70
2377,Def and Lmb,31,70
2378,Def and Lmb,32,70
2379,Def and Lmb,33,70
2380,Lmb and SoM,34,70
2381,Def and Lmb,35,70
2382,Def and Lmb,36,70
2383,Lmb and Lmb,37,70
2384,Lmb and Lmb,38,70
2385,Lmb and Vis,39,70
2386,Lmb and Vis,40,70
2387,InO and Lmb,41,70
2388,Lmb and Vis,42,70
2389,Lmb and Vis,43,70
2390,Lmb and SoM,44,70
2391,InO and Lmb,45,70
2392,Aud and Lmb,46,70
2393,Aud and Lmb,47,70
2394,Def and Lmb,48,70
2395,Def and Lmb,49,70
2396,Lmb and Lmb,50,70
2397,Lmb and Lmb,51,70
2398,Def and Lmb,52,70
2399,Def and Lmb,53,70
2400,Lmb and SoM,54,70
2401,Lmb and SoM,55,70
2402,DoA and Lmb,56,70
2403,DoA and Lmb,57,70
2404,Lmb and SoM,58,70
2405,DoA and Lmb,59,70
2406,Lmb and SoM,60,70
2407,Lmb and SoM,61,70
2408,DoA and Lmb,62,70
2409,InO and Lmb,63,70
2410,DoA and Lmb,64,70
2411,Def and Lmb,65,70
2412,Def and Lmb,66,70
2413,Def and Lmb,67,70
2414,Lmb and Lmb,68,70
2415,Lmb and Lmb,69,70
2416,Def and Vis,1,71
2417,Def and Vis,2,71
2418,Def and InO,3,71
2419,Def and InO,4,71
2420,Aud and Def,5,71
2421,Aud and Def,6,71
2422,Def and Def,7,71
2423,Def and Def,8,71
2424,Def and Lmb,9,71
2425,Def and Lmb,10,71
2426,Def and Def,11,71
2427,Def and Def,12,71
2428,Def and SoM,13,71
2429,Def and SoM,14,71
2430,Def and DoA,15,71
2431,Def and DoA,16,71
2432,Def and SoM,17,71
2433,Def and DoA,18,71
2434,Def and SoM,19,71
2435,Def and SoM,20,71
2436,Def and DoA,21,71
2437,Def and InO,22,71
2438,Def and DoA,23,71
2439,Def and Def,24,71
2440,Def and Def,25,71
2441,Def and Def,26,71
2442,Def and Lmb,27,71
2443,Def and Lmb,28,71
2444,Def and Lmb,29,71
2445,Def and Def,30,71
2446,Def and Def,31,71
2447,Def and Def,32,71
2448,Def and Def,33,71
2449,Def and SoM,34,71
2450,Def and Def,35,71
2451,Def and Def,36,71
2452,Def and Lmb,37,71
2453,Def and Lmb,38,71
2454,Def and Vis,39,71
2455,Def and Vis,40,71
2456,Def and InO,41,71
2457,Def and Vis,42,71
2458,Def and Vis,43,71
2459,Def and SoM,44,71
2460,Def and InO,45,71
2461,Aud and Def,46,71
2462,Aud and Def,47,71
2463,Def and Def,48,71
2464,Def and Def,49,71
2465,Def and Lmb,50,71
2466,Def and Lmb,51,71
2467,Def and Def,52,71
2468,Def and Def,53,71
2469,Def and SoM,54,71
2470,Def and SoM,55,71
2471,Def and DoA,56,71
2472,Def and DoA,57,71
2473,Def and SoM,58,71
2474,Def and DoA,59,71
2475,Def and SoM,60,71
2476,Def and SoM,61,71
2477,Def and DoA,62,71
2478,Def and InO,63,71
2479,Def and DoA,64,71
2480,Def and Def,65,71
2481,Def and Def,66,71
2482,Def and Def,67,71
2483,Def and Lmb,68,71
2484,Def and Lmb,69,71
2485,Def and Lmb,70,71
2486,Def and Vis,1,72
2487,Def and Vis,2,72
2488,Def and InO,3,72
2489,Def and InO,4,72
2490,Aud and Def,5,72
2491,Aud and Def,6,72
2492,Def and Def,7,72
2493,Def and Def,8,72
2494,Def and Lmb,9,72
2495,Def and Lmb,10,72
2496,Def and Def,11,72
2497,Def and Def,12,72
2498,Def and SoM,13,72
2499,Def and SoM,14,72
2500,Def and DoA,15,72
2501,Def and DoA,16,72
2502,Def and SoM,17,72
2503,Def and DoA,18,72
2504,Def and SoM,19,72
2505,Def and SoM,20,72
2506,Def and DoA,21,72
2507,Def and InO,22,72
2508,Def and DoA,23,72
2509,Def and Def,24,72
2510,Def and Def,25,72
2511,Def and Def,26,72
2512,Def and Lmb,27,72
2513,Def and Lmb,28,72
2514,Def and Lmb,29,72
2515,Def and Def,30,72
2516,Def and Def,31,72
2517,Def and Def,32,72
2518,Def and Def,33,72
2519,Def and SoM,34,72
2520,Def and Def,35,72
2521,Def and Def,36,72
2522,Def and Lmb,37,72
2523,Def and Lmb,38,72
2524,Def and Vis,39,72
2525,Def and Vis,40,72
2526,Def and InO,41,72
2527,Def and Vis,42,72
2528,Def and Vis,43,72
2529,Def and SoM,44,72
2530,Def and InO,45,72
2531,Aud and Def,46,72
2532,Aud and Def,47,72
2533,Def and Def,48,72
2534,Def and Def,49,72
2535,Def and Lmb,50,72
2536,Def and Lmb,51,72
2537,Def and Def,52,72
2538,Def and Def,53,72
2539,Def and SoM,54,72
2540,Def and SoM,55,72
2541,Def and DoA,56,72
2542,Def and DoA,57,72
2543,Def and SoM,58,72
2544,Def and DoA,59,72
2545,Def and SoM,60,72
2546,Def and SoM,61,72
2547,Def and DoA,62,72
2548,Def and InO,63,72
2549,Def and DoA,64,72
2550,Def and Def,65,72
2551,Def and Def,66,72
2552,Def and Def,67,72
2553,Def and Lmb,68,72
2554,Def and Lmb,69,72
2555,Def and Lmb,70,72
2556,Def and Def,71,72
2557,Def and Vis,1,73
2558,Def and Vis,2,73
2559,Def and InO,3,73
2560,Def and InO,4,73
2561,Aud and Def,5,73
2562,Aud and Def,6,73
2563,Def and Def,7,73
2564,Def and Def,8,73
2565,Def and Lmb,9,73
2566,Def and Lmb,10,73
2567,Def and Def,11,73
2568,Def and Def,12,73
2569,Def and SoM,13,73
2570,Def and SoM,14,73
2571,Def and DoA,15,73
2572,Def and DoA,16,73
2573,Def and SoM,17,73
2574,Def and DoA,18,73
2575,Def and SoM,19,73
2576,Def and SoM,20,73
2577,Def and DoA,21,73
2578,Def and InO,22,73
2579,Def and DoA,23,73
2580,Def and Def,24,73
2581,Def and Def,25,73
2582,Def and Def,26,73
2583,Def and Lmb,27,73
2584,Def and Lmb,28,73
2585,Def and Lmb,29,73
2586,Def and Def,30,73
2587,Def and Def,31,73
2588,Def and Def,32,73
2589,Def and Def,33,73
2590,Def and SoM,34,73
2591,Def and Def,35,73
2592,Def and Def,36,73
2593,Def and Lmb,37,73
2594,Def and Lmb,38,73
2595,Def and Vis,39,73
2596,Def and Vis,40,73
2597,Def and InO,41,73
2598,Def and Vis,42,73
2599,Def and Vis,43,73
2600,Def and SoM,44,73
2601,Def and InO,45,73
2602,Aud and Def,46,73
2603,Aud and Def,47,73
2604,Def and Def,48,73
2605,Def and Def,49,73
2606,Def and Lmb,50,73
2607,Def and Lmb,51,73
2608,Def and Def,52,73
2609,Def and Def,53,73
2610,Def and SoM,54,73
2611,Def and SoM,55,73
2612,Def and DoA,56,73
2613,Def and DoA,57,73
2614,Def and SoM,58,73
2615,Def and DoA,59,73
2616,Def and SoM,60,73
2617,Def and SoM,61,73
2618,Def and DoA,62,73
2619,Def and InO,63,73
2620,Def and DoA,64,73
2621,Def and Def,65,73
2622,Def and Def,66,73
2623,Def and Def,67,73
2624,Def and Lmb,68,73
2625,Def and Lmb,69,73
2626,Def and Lmb,70,73
2627,Def and Def,71,73
2628,Def and Def,72,73
2629,Def and Vis,1,74
2630,Def and Vis,2,74
2631,Def and InO,3,74
2632,Def and InO,4,74
2633,Aud and Def,5,74
2634,Aud and Def,6,74
2635,Def and Def,7,74
2636,Def and Def,8,74
2637,Def and Lmb,9,74
2638,Def and Lmb,10,74
2639,Def and Def,11,74
2640,Def and Def,12,74
2641,Def and SoM,13,74
2642,Def and SoM,14,74
2643,Def and DoA,15,74
2644,Def and DoA,16,74
2645,Def and SoM,17,74
2646,Def and DoA,18,74
2647,Def and SoM,19,74
2648,Def and SoM,20,74
2649,Def and DoA,21,74
2650,Def and InO,22,74
2651,Def and DoA,23,74
2652,Def and Def,24,74
2653,Def and Def,25,74
2654,Def and Def,26,74
2655,Def and Lmb,27,74
2656,Def and Lmb,28,74
2657,Def and Lmb,29,74
2658,Def and Def,30,74
2659,Def and Def,31,74
2660,Def and Def,32,74
2661,Def and Def,33,74
2662,Def and SoM,34,74
2663,Def and Def,35,74
2664,Def and Def,36,74
2665,Def and Lmb,37,74
2666,Def and Lmb,38,74
2667,Def and Vis,39,74
2668,Def and Vis,40,74
2669,Def and InO,41,74
2670,Def and Vis,42,74
2671,Def and Vis,43,74
2672,Def and SoM,44,74
2673,Def and InO,45,74
2674,Aud and Def,46,74
2675,Aud and Def,47,74
2676,Def and Def,48,74
2677,Def and Def,49,74
2678,Def and Lmb,50,74
2679,Def and Lmb,51,74
2680,Def and Def,52,74
2681,Def and Def,53,74
2682,Def and SoM,54,74
2683,Def and SoM,55,74
2684,Def and DoA,56,74
2685,Def and DoA,57,74
2686,Def and SoM,58,74
2687,Def and DoA,59,74
2688,Def and SoM,60,74
2689,Def and SoM,61,74
2690,Def and DoA,62,74
2691,Def and InO,63,74
2692,Def and DoA,64,74
2693,Def and Def,65,74
2694,Def and Def,66,74
2695,Def and Def,67,74
2696,Def and Lmb,68,74
2697,Def and Lmb,69,74
2698,Def and Lmb,70,74
2699,Def and Def,71,74
2700,Def and Def,72,74
2701,Def and Def,73,74
2702,SoM and Vis,1,75
2703,SoM and Vis,2,75
2704,InO and SoM,3,75
2705,InO and SoM,4,75
2706,Aud and SoM,5,75
2707,Aud and SoM,6,75
2708,Def and SoM,7,75
2709,Def and SoM,8,75
2710,Lmb and SoM,9,75
2711,Lmb and SoM,10,75
2712,Def and SoM,11,75
2713,Def and SoM,12,75
2714,SoM and SoM,13,75
2715,SoM and SoM,14,75
2716,DoA and SoM,15,75
2717,DoA and SoM,16,75
2718,SoM and SoM,17,75
2719,DoA and SoM,18,75
2720,SoM and SoM,19,75
2721,SoM and SoM,20,75
2722,DoA and SoM,21,75
2723,InO and SoM,22,75
2724,DoA and SoM,23,75
2725,Def and SoM,24,75
2726,Def and SoM,25,75
2727,Def and SoM,26,75
2728,Lmb and SoM,27,75
2729,Lmb and SoM,28,75
2730,Lmb and SoM,29,75
2731,Def and SoM,30,75
2732,Def and SoM,31,75
2733,Def and SoM,32,75
2734,Def and SoM,33,75
2735,SoM and SoM,34,75
2736,Def and SoM,35,75
2737,Def and SoM,36,75
2738,Lmb and SoM,37,75
2739,Lmb and SoM,38,75
2740,SoM and Vis,39,75
2741,SoM and Vis,40,75
2742,InO and SoM,41,75
2743,SoM and Vis,42,75
2744,SoM and Vis,43,75
2745,SoM and SoM,44,75
2746,InO and SoM,45,75
2747,Aud and SoM,46,75
2748,Aud and SoM,47,75
2749,Def and SoM,48,75
2750,Def and SoM,49,75
2751,Lmb and SoM,50,75
2752,Lmb and SoM,51,75
2753,Def and SoM,52,75
2754,Def and SoM,53,75
2755,SoM and SoM,54,75
2756,SoM and SoM,55,75
2757,DoA and SoM,56,75
2758,DoA and SoM,57,75
2759,SoM and SoM,58,75
2760,DoA and SoM,59,75
2761,SoM and SoM,60,75
2762,SoM and SoM,61,75
2763,DoA and SoM,62,75
2764,InO and SoM,63,75
2765,DoA and SoM,64,75
2766,Def and SoM,65,75
2767,Def and SoM,66,75
2768,Def and SoM,67,75
2769,Lmb and SoM,68,75
2770,Lmb and SoM,69,75
2771,Lmb and SoM,70,75
2772,Def and SoM,71,75
2773,Def and SoM,72,75
2774,Def and SoM,73,75
2775,Def and SoM,74,75
2776,Def and Vis,1,76
2777,Def and Vis,2,76
2778,Def and InO,3,76
2779,Def and InO,4,76
2780,Aud and Def,5,76
2781,Aud and Def,6,76
2782,Def and Def,7,76
2783,Def and Def,8,76
2784,Def and Lmb,9,76
2785,Def and Lmb,10,76
2786,Def and Def,11,76
2787,Def and Def,12,76
2788,Def and SoM,13,76
2789,Def and SoM,14,76
2790,Def and DoA,15,76
2791,Def and DoA,16,76
2792,Def and SoM,17,76
2793,Def and DoA,18,76
2794,Def and SoM,19,76
2795,Def and SoM,20,76
2796,Def and DoA,21,76
2797,Def and InO,22,76
2798,Def and DoA,23,76
2799,Def and Def,24,76
2800,Def and Def,25,76
2801,Def and Def,26,76
2802,Def and Lmb,27,76
2803,Def and Lmb,28,76
2804,Def and Lmb,29,76
2805,Def and Def,30,76
2806,Def and Def,31,76
2807,Def and Def,32,76
2808,Def and Def,33,76
2809,Def and SoM,34,76
2810,Def and Def,35,76
2811,Def and Def,36,76
2812,Def and Lmb,37,76
2813,Def and Lmb,38,76
2814,Def and Vis,39,76
2815,Def and Vis,40,76
2816,Def and InO,41,76
2817,Def and Vis,42,76
2818,Def and Vis,43,76
2819,Def and SoM,44,76
2820,Def and InO,45,76
2821,Aud and Def,46,76
2822,Aud and Def,47,76
2823,Def and Def,48,76
2824,Def and Def,49,76
2825,Def and Lmb,50,76
2826,Def and Lmb,51,76
2827,Def and Def,52,76
2828,Def and Def,53,76
2829,Def and SoM,54,76
2830,Def and SoM,55,76
2831,Def and DoA,56,76
2832,Def and DoA,57,76
2833,Def and SoM,58,76
2834,Def and DoA,59,76
2835,Def and SoM,60,76
2836,Def and SoM,61,76
2837,Def and DoA,62,76
2838,Def and InO,63,76
2839,Def and DoA,64,76
2840,Def and Def,65,76
2841,Def and Def,66,76
2842,Def and Def,67,76
2843,Def and Lmb,68,76
2844,Def and Lmb,69,76
2845,Def and Lmb,70,76
2846,Def and Def,71,76
2847,Def and Def,72,76
2848,Def and Def,73,76
2849,Def and Def,74,76
2850,Def and SoM,75,76
2851,Def and Vis,1,77
2852,Def and Vis,2,77
2853,Def and InO,3,77
2854,Def and InO,4,77
2855,Aud and Def,5,77
2856,Aud and Def,6,77
2857,Def and Def,7,77
2858,Def and Def,8,77
2859,Def and Lmb,9,77
2860,Def and Lmb,10,77
2861,Def and Def,11,77
2862,Def and Def,12,77
2863,Def and SoM,13,77
2864,Def and SoM,14,77
2865,Def and DoA,15,77
2866,Def and DoA,16,77
2867,Def and SoM,17,77
2868,Def and DoA,18,77
2869,Def and SoM,19,77
2870,Def and SoM,20,77
2871,Def and DoA,21,77
2872,Def and InO,22,77
2873,Def and DoA,23,77
2874,Def and Def,24,77
2875,Def and Def,25,77
2876,Def and Def,26,77
2877,Def and Lmb,27,77
2878,Def and Lmb,28,77
2879,Def and Lmb,29,77
2880,Def and Def,30,77
2881,Def and Def,31,77
2882,Def and Def,32,77
2883,Def and Def,33,77
2884,Def and SoM,34,77
2885,Def and Def,35,77
2886,Def and Def,36,77
2887,Def and Lmb,37,77
2888,Def and Lmb,38,77
2889,Def and Vis,39,77
2890,Def and Vis,40,77
2891,Def and InO,41,77
2892,Def and Vis,42,77
2893,Def and Vis,43,77
2894,Def and SoM,44,77
2895,Def and InO,45,77
2896,Aud and Def,46,77
2897,Aud and Def,47,77
2898,Def and Def,48,77
2899,Def and Def,49,77
2900,Def and Lmb,50,77
2901,Def and Lmb,51,77
2902,Def and Def,52,77
2903,Def and Def,53,77
2904,Def and SoM,54,77
2905,Def and SoM,55,77
2906,Def and DoA,56,77
2907,Def and DoA,57,77
2908,Def and SoM,58,77
2909,Def and DoA,59,77
2910,Def and SoM,60,77
2911,Def and SoM,61,77
2912,Def and DoA,62,77
2913,Def and InO,63,77
2914,Def and DoA,64,77
2915,Def and Def,65,77
2916,Def and Def,66,77
2917,Def and Def,67,77
2918,Def and Lmb,68,77
2919,Def and Lmb,69,77
2920,Def and Lmb,70,77
2921,Def and Def,71,77
2922,Def and Def,72,77
2923,Def and Def,73,77
2924,Def and Def,74,77
2925,Def and SoM,75,77
2926,Def and Def,76,77
2927,Lmb and Vis,1,78
2928,Lmb and Vis,2,78
2929,InO and Lmb,3,78
2930,InO and Lmb,4,78
2931,Aud and Lmb,5,78
2932,Aud and Lmb,6,78
2933,Def and Lmb,7,78
2934,Def and Lmb,8,78
2935,Lmb and Lmb,9,78
2936,Lmb and Lmb,10,78
2937,Def and Lmb,11,78
2938,Def and Lmb,12,78
2939,Lmb and SoM,13,78
2940,Lmb and SoM,14,78
2941,DoA and Lmb,15,78
2942,DoA and Lmb,16,78
2943,Lmb and SoM,17,78
2944,DoA and Lmb,18,78
2945,Lmb and SoM,19,78
2946,Lmb and SoM,20,78
2947,DoA and Lmb,21,78
2948,InO and Lmb,22,78
2949,DoA and Lmb,23,78
2950,Def and Lmb,24,78
2951,Def and Lmb,25,78
2952,Def and Lmb,26,78
2953,Lmb and Lmb,27,78
2954,Lmb and Lmb,28,78
2955,Lmb and Lmb,29,78
2956,Def and Lmb,30,78
2957,Def and Lmb,31,78
