index,network_names,ROI1,ROI2
323,Def and DoA,23,26
324,Def and Def,24,26
325,Def and Def,25,26
326,Lmb and Vis,1,27
327,Lmb and Vis,2,27
328,InO and Lmb,3,27
329,InO and Lmb,4,27
330,Aud and Lmb,5,27
331,Aud and Lmb,6,27
332,Def and Lmb,7,27
333,Def and Lmb,8,27
334,Lmb and Lmb,9,27
335,Lmb and Lmb,10,27
336,Def and Lmb,11,27
337,Def and Lmb,12,27
338,Lmb and SoM,13,27
339,Lmb and SoM,14,27
340,DoA and Lmb,15,27
341,DoA and Lmb,16,27
342,Lmb and SoM,17,27
343,DoA and Lmb,18,27
344,Lmb and SoM,19,27
345,Lmb and SoM,20,27
346,DoA and Lmb,21,27
347,InO and Lmb,22,27
348,DoA and Lmb,23,27
349,Def and Lmb,24,27
350,Def and Lmb,25,27
351,Def and Lmb,26,27
352,Lmb and Vis,1,28
353,Lmb and Vis,2,28
354,InO and Lmb,3,28
355,InO and Lmb,4,28
356,Aud and Lmb,5,28
357,Aud and Lmb,6,28
358,Def and Lmb,7,28
359,Def and Lmb,8,28
360,Lmb and Lmb,9,28
361,Lmb and Lmb,10,28
362,Def and Lmb,11,28
363,Def and Lmb,12,28
364,Lmb and SoM,13,28
365,Lmb and SoM,14,28
366,DoA and Lmb,15,28
367,DoA and Lmb,16,28
368,Lmb and SoM,17,28
369,DoA and Lmb,18,28
370,Lmb and SoM,19,28
371,Lmb and SoM,20,28
372,DoA and Lmb,21,28
373,InO and Lmb,22,28
374,DoA and Lmb,23,28
375,Def and Lmb,24,28
376,Def and Lmb,25,28
377,Def and Lmb,26,28
378,Lmb and Lmb,27,28
379,Lmb and Vis,1,29
380,Lmb and Vis,2,29
381,InO and Lmb,3,29
382,InO and Lmb,4,29
383,Aud and Lmb,5,29
384,Aud and Lmb,6,29
385,Def and Lmb,7,29
386,Def and Lmb,8,29
387,Lmb and Lmb,9,29
388,Lmb and Lmb,10,29
389,Def and Lmb,11,29
390,Def and Lmb,12,29
391,Lmb and SoM,13,29
392,Lmb and SoM,14,29
393,DoA and Lmb,15,29
394,DoA and Lmb,16,29
395,Lmb and SoM,17,29
396,DoA and Lmb,18,29
397,Lmb and SoM,19,29
398,Lmb and SoM,20,29
399,DoA and Lmb,21,29
400,InO and Lmb,22,29
401,DoA and Lmb,23,29
402,Def and Lmb,24,29
403,Def and Lmb,25,29
404,Def and Lmb,26,29
405,Lmb and Lmb,27,29
406,Lmb and Lmb,28,29
407,Def and Vis,1,30
408,Def and Vis,2,30
409,Def and InO,3,30
410,Def and InO,4,30
411,Aud and Def,5,30
412,Aud and Def,6,30
413,Def and Def,7,30
414,Def and Def,8,30
415,Def and Lmb,9,30
416,Def and Lmb,10,30
417,Def and Def,11,30
418,Def and Def,12,30
419,Def and SoM,13,30
420,Def and SoM,14,30
421,Def and DoA,15,30
422,Def and DoA,16,30
423,Def and SoM,17,30
424,Def and DoA,18,30
425,Def and SoM,19,30
426,Def and SoM,20,30
427,Def and DoA,21,30
428,Def and InO,22,30
429,Def and DoA,23,30
430,Def and Def,24,30
431,Def and Def,25,30
432,Def and Def,26,30
433,Def and Lmb,27,30
434,Def and Lmb,28,30
435,Def and Lmb,29,30
436,Def and Vis,1,31
437,Def and Vis,2,31
438,Def and InO,3,31
439,Def and InO,4,31
440,Aud and Def,5,31
441,Aud and Def,6,31
442,Def and Def,7,31
443,Def and Def,8,31
444,Def and Lmb,9,31
445,Def and Lmb,10,31
446,Def and Def,11,31
447,Def and Def,12,31
448,Def and SoM,13,31
449,Def and SoM,14,31
450,Def and DoA,15,31
451,Def and DoA,16,31
452,Def and SoM,17,31
453,Def and DoA,18,31
454,Def and SoM,19,31
455,Def and SoM,20,31
456,Def and DoA,21,31
457,Def and InO,22,31
458,Def and DoA,23,31
459,Def and Def,24,31
460,Def and Def,25,31
461,Def and Def,26,31
462,Def and Lmb,27,31
463,Def and Lmb,28,31
464,Def and Lmb,29,31
465,Def and Def,30,31
466,Def and Vis,1,32
467,Def and Vis,2,32
468,Def and InO,3,32
469,Def and InO,4,32
470,Aud and Def,5,32
471,Aud and Def,6,32
472,Def and Def,7,32
473,Def and Def,8,32
474,Def and Lmb,9,32
475,Def and Lmb,10,32
476,Def and Def,11,32
477,Def and Def,12,32
478,Def and SoM,13,32
479,Def and SoM,14,32
480,Def and DoA,15,32
481,Def and DoA,16,32
482,Def and SoM,17,32
483,Def and DoA,18,32
484,Def and SoM,19,32
485,Def and SoM,20,32
486,Def and DoA,21,32
487,Def and InO,22,32
488,Def and DoA,23,32
489,Def and Def,24,32
490,Def and Def,25,32
491,Def and Def,26,32
492,Def and Lmb,27,32
493,Def and Lmb,28,32
494,Def and Lmb,29,32
495,Def and Def,30,32
496,Def and Def,31,32
497,Def and Vis,1,33
498,Def and Vis,2,33
499,Def and InO,3,33
500,Def and InO,4,33
501,Aud and Def,5,33
502,Aud and Def,6,33
503,Def and Def,7,33
504,Def and Def,8,33
505,Def and Lmb,9,33
506,Def and Lmb,10,33
507,Def and Def,11,33
508,Def and Def,12,33
509,Def and SoM,13,33
510,Def and SoM,14,33
511,Def and DoA,15,33
512,Def and DoA,16,33
513,Def and SoM,17,33
514,Def and DoA,18,33
515,Def and SoM,19,33
516,Def and SoM,20,33
517,Def and DoA,21,33
518,Def and InO,22,33
519,Def and DoA,23,33
520,Def and Def,24,33
521,Def and Def,25,33
522,Def and Def,26,33
523,Def and Lmb,27,33
524,Def and Lmb,28,33
525,Def and Lmb,29,33
526,Def and Def,30,33
527,Def and Def,31,33
528,Def and Def,32,33
529,SoM and Vis,1,34
530,SoM and Vis,2,34
531,InO and SoM,3,34
532,InO and SoM,4,34
533,Aud and SoM,5,34
534,Aud and SoM,6,34
535,Def and SoM,7,34
536,Def and SoM,8,34
537,Lmb and SoM,9,34
538,Lmb and SoM,10,34
539,Def and SoM,11,34
540,Def and SoM,12,34
541,SoM and SoM,13,34
542,SoM and SoM,14,34
543,DoA and SoM,15,34
544,DoA and SoM,16,34
545,SoM and SoM,17,34
546,DoA and SoM,18,34
547,SoM and SoM,19,34
548,SoM and SoM,20,34
549,DoA and SoM,21,34
550,InO and SoM,22,34
551,DoA and SoM,23,34
552,Def and SoM,24,34
553,Def and SoM,25,34
554,Def and SoM,26,34
555,Lmb and SoM,27,34
556,Lmb and SoM,28,34
557,Lmb and SoM,29,34
558,Def and SoM,30,34
559,Def and SoM,31,34
560,Def and SoM,32,34
561,Def and SoM,33,34
562,Def and Vis,1,35
563,Def and Vis,2,35
564,Def and InO,3,35
565,Def and InO,4,35
566,Aud and Def,5,35
567,Aud and Def,6,35
568,Def and Def,7,35
569,Def and Def,8,35
570,Def and Lmb,9,35
571,Def and Lmb,10,35
572,Def and Def,11,35
573,Def and Def,12,35
574,Def and SoM,13,35
575,Def and SoM,14,35
576,Def and DoA,15,35
577,Def and DoA,16,35
578,Def and SoM,17,35
579,Def and DoA,18,35
580,Def and SoM,19,35
581,Def and SoM,20,35
582,Def and DoA,21,35
583,Def and InO,22,35
584,Def and DoA,23,35
585,Def and Def,24,35
586,Def and Def,25,35
587,Def and Def,26,35
588,Def and Lmb,27,35
589,Def and Lmb,28,35
590,Def and Lmb,29,35
591,Def and Def,30,35
592,Def and Def,31,35
593,Def and Def,32,35
594,Def and Def,33,35
595,Def and SoM,34,35
596,Def and Vis,1,36
597,Def and Vis,2,36
598,Def and InO,3,36
599,Def and InO,4,36
600,Aud and Def,5,36
601,Aud and Def,6,36
602,Def and Def,7,36
603,Def and Def,8,36
604,Def and Lmb,9,36
605,Def and Lmb,10,36
606,Def and Def,11,36
607,Def and Def,12,36
608,Def and SoM,13,36
609,Def and SoM,14,36
610,Def and DoA,15,36
611,Def and DoA,16,36
612,Def and SoM,17,36
613,Def and DoA,18,36
