index,Ordinary,Adjusted
1983,0.117030780736575,0.117030780736575
1984,0.0137071800808263,0.0137071800808263
1985,0.0240410910401732,0.0240410910401732
1986,0.0292168915517891,0.0292168915517891
1987,0.00779754419339773,0.00779754419339773
1988,0.00603469247069455,0.00603469247069455
1989,0.0148885407916057,0.0148885407916057
1990,0.210892981311544,0.210892981311544
1991,0.00478733371918982,0.00478733371918982
1992,0.0281362590286469,0.0281362590286469
1993,0.0208476281191053,0.0208476281191053
1994,0.028442740261757,0.028442740261757
1995,0.0228481056081424,0.0228481056081424
1996,0.0229359623236879,0.0229359623236879
1997,0.0122261463613748,0.0122261463613748
1998,0.0184699742372452,0.0184699742372452
1999,0.0727328732993067,0.0727328732993067
2000,0.050472887176883,0.050472887176883
2001,0.0122226316050339,0.0122226316050339
2002,0.0115543963887138,0.0115543963887138
2003,0.219321835087559,0.219321835087559
2004,0.0665267438487211,0.0665267438487211
2005,0.0282154342146674,0.0282154342146674
2006,0.253567097967342,0.253567097967342
2007,0.00653323886114787,0.00653323886114787
2008,0.00617615245412917,0.00617615245412917
2009,0.178099518618527,0.178099518618527
2010,0.0925923918468189,0.0925923918468189
2011,0.00892672513395398,0.00892672513395398
2012,0.0141803242865841,0.0141803242865841
2013,0.0212662734114334,0.0212662734114334
2014,0.0256959676072028,0.0256959676072028
2015,0.0330263249398322,0.0330263249398322
2016,0.0379741343327464,0.0379741343327464
2017,0.0416479070385872,0.0416479070385872
2018,0.0493037261727937,0.0493037261727937
2019,0.0650610071178558,0.0650610071178558
2020,0.0201474645577231,0.0201474645577231
2021,0.0443719270423942,0.0443719270423942
2022,0.011783944836008,0.011783944836008
2023,0.24618494553685,0.24618494553685
2024,0.0110391924641169,0.0110391924641169
2025,0.203076726196794,0.203076726196794
2026,0.0184165932976659,0.0184165932976659
2027,0.118546372603448,0.118546372603448
2028,0.0259497993396252,0.0259497993396252
2029,0.243392942416762,0.243392942416762
2030,0.134377361090997,0.134377361090997
2031,0.0067622392608645,0.0067622392608645
2032,0.0138539889418138,0.0138539889418138
2033,0.319619065725094,0.319619065725094
2034,0.0120913120097577,0.0120913120097577
